1,1,Exposition,First Subject Group,Theme a,Sentence,Presentation,Basic idea,X
111,1,,,,,,,
112,1,,,,,,,
113,1,,,,X,,,
114,1,,,,,,,
115,1,,,,,,,
116,1,,,,,,,
117,1,,,,X,,,
118,1,,,,,,,
119,1,,,,,,,
120,1,,,,,,,
121,1,,,,X,,,
122,1,,,,,,,
123,1,,,,,,,
124,1,,,,,,,
125,1,,,Theme e,X,X,,
126,1,,,,,,,
127,1,,,,,X,,
128,1,,,,,,,
129,1,,,,,X,,
130,1,,,,,,,
131,1,,,,,,,
132,1,,,,,,,
133,1,,,,,,,
134,1,,,,,,,
135,1,,Coda,Theme c,X,,,
136,1,,,,,,,
137,1,,,,,,,
138,1,,,,,,,
139,1,,,,X,,,
140,1,,,,,,,
141,1,,,,,,,
142,1,,,,,,,
143,1,,,,X,,,
144,1,,,,,,,
145,1,,,,,,,
146,1,,,,,,,
147,1,,,,X,,,
148,1,,,,,,,
149,1,,,,,,,
150,1,,,,,,,
151,1,,,,X,,,
152,1,,,,,,,
153,1,,,,,,,
154,1,,,,,,,
155,1,,,,X,,,
156,1,,,,,,,
157,1,,,,,,,
158,1,,,,,,,
159,1,,,,X,,,
160,1,,,,,,,
161,1,,,,,,,
162,1,,,,,,,
163=1,,,,,,,,
Repeat: 2-163,,,,,,,,
163a,1,Development,Theme a,X,,,,
164,1,,,,,,,
165,1,,,,,,,
166,1,,,,,,,
167,1,,,X,X,X,,
168,1,,,,,,,
169,1,,,,,,,
170,1,,,,,,,
171,1,,,,,X,,
172,1,,,,,,,
173,1,,,,,X,,
174,1,,,,,,,
175,1,,,,,,,
176,1,,,,,,,
177,1,,,,X,X,,
178,1,,,,,,,
179,1,,,,,,,
180,1,,,,,,,
181,1,,,,,X,,
182,1,,,,,,,
183,1,,,X,X,,,
184,1,,,,,,,
185,1,,,,,,,
186,1,,,,,,,
187,1,,,,X,,,
188,1,,,,,,,
189,1,,,,,,,
190,1,,,,,,,
191-198=183-190,,,,,,,,
199,1,,,X,X,,,
200,1,,,,,,,
201,1,,,,X,,,
202,1,,,,,,,
203,1,,,,X,,,
204,1,,,,,,,
205,1,,,,X,,,
206,1,,,,,,,
207,1,,,X,X,,,
208,1,,,,,,,
209,1,,,,X,,,
210,1,,,,,,,
211,1,,,,X,,,
212,1,,,,,,,
213,1,,,,X,,,
214,1,,,,,,,
215,1,,,,X,,,
216,1,,,,,,,
217,1,,,,X,,,
218,1,,,,,,,
219,1,,,Dominant pedal,X,X,,
220,1,,,,,,,
221,1,,,,,X,,
222,1,,,,,,,
223,1,,,,X,X,,
224,1,,,,,,,
225,1,,,,,X,,
226,1,,,,,,,
227,1,,,,X,X,,
228,1,,,,,,,
229,1,,,,,X,,
230,1,,,,,,,
231,1,,,,X,X,,
232,1,,,,,,,
233,1,,,,,X,,
234,1,,,,,,,
235,1,,,,X,X,,
236,1,,,,,,,
237,1,,,,,X,,
238,1,,,,,,,
239,1,,,,X,X,,
240,1,,,,,,,
241,1,,,,,X,,
242,1,,,,,,,
243,1,,,,X,X,,
244,1,,,,,,,
245,1,,,,,X,,
246,1,,,,,,,
247,1,,,,X,X,,
248,1,,,,,,,
249,1,,,,,X,,
250,1,,,,,,,
251,1,,,,X,X,,
252,1,,,,,,,
253,1,,,,,X,,
254,1,,,,,,,
255,1,,,,X,X,,
256,1,,,,,,,
257,-1,,Theme c,X,,,,
258,1,,,,,,,
259,1,,,,,,,
260,1,,,,,,,
261,1,,,,,,,
262,-1,,,X,,,,
263,1,,,,,,,
264,1,,,,,,,
265,1,,,,,,,
266,1,,,,,,,
267,-1,,,X,,,,
268,1,,,,,,,
,,,,,,,,
269-311=1-39,,Recapitulation,,,,,,
312,1,,Transition,Theme b,Period,Antecedent,X,
313,1,,,,,,,
314,1,,,,,,X,
315,1,,,,,,,
316,1,,,,,Consesequent,X,
317,1,,,,,,,
318,1,,,,,,X,
319,1,,,,,,,
320,1,,,,,Antecedent,X,
321,1,,,,,,,
322,1,,,,,,X,
323,1,,,,,,,
324,1,,,,,Consesequent,X,
325,1,,,,,,,
326,1,,,,,,X,
327,1,,,,,,,
328,1,,,,,,X,
329,1,,,,,,,
330,1,,,,,,X,
331,1,,,,,,,
332,1,,,,,,X,
333,1,,,,,,,
334,1,,,,,,X,
335,1,,,,,,,
336,1,,,,,,,
337-402=63-128,,,,Theme c,,,,
,,,,,,,,
403,1,,,Change from exp.,,,,
404,1,,,,,,,
405-433=129-157,,,,,,,,
434,1,,X,,,,,
435,1,,,,,,,
436,1,,,,,,,
437,1,,,,,,,
438,1,Coda,Theme a,X,,,,
439,1,,,,,,,
440,1,,,,,,,
441,1,,,,,,,
442,1,,,X,,,,
443,1,,,,,,,
444,1,,,X,,,,
445,1,,,,,,,
446,1,,,,,,,
447,1,,,,,,,
448,-1,,X,X,X,,,
449,-1,,,,,,,
450,-1,,,,X,,,
451,-1,,,,,,,
452,-1,,,,X,,,
453,-1,,,,,,,
454,-1,,,X,X,,,
455,-1,,,,,,,
456,-1,,,,,,,
457,-1,,,,,,,
458,-1,,,,,,,
459,-1,,,,,,,
460,1,,,X,,,,
461,,,,,,,,
